epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,7417.33,1.52375,1.2357,1.33847,0.52041,0.50049,0.50838,0.22215,1.93514,1.56001,1.64528,0.00028475,0.00028475,0.00028475
80,7522.95,1.53313,1.21945,1.33487,0.50931,0.52146,0.49918,0.21784,1.94249,1.53517,1.66297,0.000272375,0.000272375,0.000272375
81,7629.44,1.50536,1.2135,1.3216,0.55679,0.49954,0.51227,0.22567,1.95257,1.51436,1.66781,0.00026,0.00026,0.00026
82,7734.41,1.49136,1.18817,1.3135,0.52295,0.51671,0.50758,0.22972,1.94199,1.52558,1.66544,0.000247625,0.000247625,0.000247625
83,7837.99,1.4652,1.17012,1.30343,0.51596,0.53285,0.5107,0.22697,1.92792,1.53805,1.64899,0.00023525,0.00023525,0.00023525
84,7943.73,1.4825,1.1709,1.3049,0.50092,0.5322,0.49951,0.22717,1.95093,1.5259,1.65901,0.000222875,0.000222875,0.000222875
85,8049.78,1.46135,1.16933,1.30487,0.54941,0.52231,0.51857,0.23275,1.93965,1.49336,1.6549,0.0002105,0.0002105,0.0002105
86,8159.02,1.46332,1.1642,1.30126,0.5513,0.49891,0.5173,0.23184,1.92987,1.48862,1.66795,0.000198125,0.000198125,0.000198125
87,8264.99,1.44275,1.13937,1.2953,0.55664,0.51659,0.51333,0.22572,1.9381,1.51021,1.67034,0.00018575,0.00018575,0.00018575
88,8373.29,1.46067,1.14671,1.29994,0.56227,0.50966,0.51826,0.22701,1.94402,1.515,1.67464,0.000173375,0.000173375,0.000173375
89,8478.05,1.43979,1.13027,1.28598,0.56045,0.52442,0.52014,0.23046,1.92409,1.49091,1.66482,0.000161,0.000161,0.000161
90,8576.87,1.43229,1.11149,1.2766,0.54769,0.53163,0.52729,0.23631,1.92843,1.48677,1.66132,0.000148625,0.000148625,0.000148625
91,8675.45,1.44844,1.10193,1.31199,0.54004,0.53335,0.52225,0.23618,1.93768,1.51183,1.6721,0.00013625,0.00013625,0.00013625
92,8763.1,1.4299,1.07736,1.30352,0.53435,0.54031,0.5268,0.23577,1.93555,1.50457,1.67869,0.000123875,0.000123875,0.000123875
93,8850.16,1.42095,1.05126,1.29014,0.57697,0.53448,0.53216,0.23737,1.92182,1.50635,1.66952,0.0001115,0.0001115,0.0001115
94,8939.03,1.40495,1.03274,1.28712,0.55919,0.52231,0.5297,0.23684,1.93737,1.49841,1.67962,9.9125e-05,9.9125e-05,9.9125e-05
95,9026.27,1.39632,1.03271,1.28343,0.54547,0.54584,0.53389,0.2414,1.91937,1.48034,1.66179,8.675e-05,8.675e-05,8.675e-05
96,9113.8,1.36969,1.01021,1.26951,0.55543,0.54062,0.53668,0.24102,1.9294,1.48217,1.67639,7.4375e-05,7.4375e-05,7.4375e-05
97,9201.58,1.35483,1.02009,1.26904,0.55151,0.53429,0.53854,0.24346,1.92383,1.47679,1.68076,6.2e-05,6.2e-05,6.2e-05
98,9289.19,1.38741,1.03033,1.27906,0.54905,0.54302,0.54132,0.24298,1.92808,1.47895,1.67383,4.9625e-05,4.9625e-05,4.9625e-05
99,9376.68,1.35335,0.98606,1.26859,0.57183,0.53138,0.53947,0.24276,1.93612,1.4923,1.67968,3.725e-05,3.725e-05,3.725e-05
100,9464.16,1.35093,0.99211,1.2637,0.57005,0.54123,0.5437,0.24679,1.92559,1.48332,1.67415,2.4875e-05,2.4875e-05,2.4875e-05
